id,description,learning_outcomes,Skill,Level,Knowledge Required,Task Abilities
4904852663176,"survey and analysis of cinema , including history , film techniques , production procedures , selected motion pictures , and cinema ’s impact on and reflection of society .","communications skills — to include effective written , oral and visual communication . critical thinking skills — to include creative thinking , innovation , inquiry , and analysis , evaluation and synthesis of information . personal responsibility — to include the ability to connect choices , actions , and consequences to ethical decision - making . social responsibility — to include the demonstrated knowledge and competence , knowledge of civic responsibility , and the ability to engage effectively in regional , national , and global communities . analyze film through written response . demonstrate a basic knowledge of film history , form , and genre . describe the collaborative nature of cinema and the many jobs required to develop a motion picture . discuss / describe the relationship of cinema to society as it relates to his / her perspective .",Communications skills,3,"['analysis', 'evaluation', 'synthesis']","['articulate ideas', 'present findings', 'collaborate effectively.']"
4904852663176,"survey and analysis of cinema , including history , film techniques , production procedures , selected motion pictures , and cinema ’s impact on and reflection of society .","communications skills — to include effective written , oral and visual communication . critical thinking skills — to include creative thinking , innovation , inquiry , and analysis , evaluation and synthesis of information . personal responsibility — to include the ability to connect choices , actions , and consequences to ethical decision - making . social responsibility — to include the demonstrated knowledge and competence , knowledge of civic responsibility , and the ability to engage effectively in regional , national , and global communities . analyze film through written response . demonstrate a basic knowledge of film history , form , and genre . describe the collaborative nature of cinema and the many jobs required to develop a motion picture . discuss / describe the relationship of cinema to society as it relates to his / her perspective .",Critical Thinking,3,"['creative thinking', 'innovation', 'inquiry', 'analysis', 'evaluation', 'synthesis']","['solve problems', 'make decisions', 'evaluate information.']"
4904852663176,"survey and analysis of cinema , including history , film techniques , production procedures , selected motion pictures , and cinema ’s impact on and reflection of society .","communications skills — to include effective written , oral and visual communication . critical thinking skills — to include creative thinking , innovation , inquiry , and analysis , evaluation and synthesis of information . personal responsibility — to include the ability to connect choices , actions , and consequences to ethical decision - making . social responsibility — to include the demonstrated knowledge and competence , knowledge of civic responsibility , and the ability to engage effectively in regional , national , and global communities . analyze film through written response . demonstrate a basic knowledge of film history , form , and genre . describe the collaborative nature of cinema and the many jobs required to develop a motion picture . discuss / describe the relationship of cinema to society as it relates to his / her perspective .",Film History,2,"['film movements', 'film genres', 'notable filmmakers']","['analyze silents films', 'discuss film evolution', 'identify film trends.']"
661424964946,you will be provided with a practical understanding of quality improvement tools and their applications in industry . this will include a practical introduction to data techniques and statistical process control ( spc ) as useful tools for maintaining and improving manufacturing quality . you will also develop an understanding of the economic and strategic importance of quality in the manufacturing .,"employ statistics to solve problems . use statistical terms . identify types of data . identify the measurement level of variables . identify the four main sampling techniques . draw a scatter plot for a set of ordered pairs . calculate and interpret the correlation coefficient . calculate the equation of the least squares regression line . use the regression equation to predict values of the dependent variable . interpret the concept of "" quality "" as it applies to various industries . define quality . explain the need and goals of spc . contrast the difference between prevention versus detection of defects . explain the basic tools for spc . explain how quality has evolved over the last century . express management ’s problems with quality improvement . generalize various management approaches to promote quality improvement . identify the “ cost of quality ” . apply statistical methods to data analysis . interpret measurement concepts and variation . analyze a distribution using statistical techniques . use various quality improvement tools to organize data . use various quality improvement tools to represent and quantify data . use various quality improvement tools to diagram and solve quality problems . analyze normal probability distribution and the central limit theorem . solve problems using the concepts of normal probability distribution . demonstrate the use and application of variable control charts . contrast the difference between variables and attributes . discover the preparatory issues with implementing control charts . develop control charts for variables . identify control chart patterns and deal with out - of - control situations . calculate the process capability for control chart variable data . document other variations of the standard variable control chart . demonstrate the use and application of attribute control charts . develop and create control charts for attributes . calculate the process capability for control chart attribute data . explain the difference between the four chart types and their uses . identify several out - of - control situations for control charts . describe several remedies for these out - of - control situations . investigate gauge capability . calculate gauge capability . demonstrate and evaluate a gauge repeatability and reproducibility study . assess the effect of repeatability and reproducibility , and stability on gauge readings . communicate clearly , concisely and correctly in the written , spoken , and visual form that fulfills the purpose and meets the needs of the audience . respond to written , spoken , or visual messages in a manner that ensures effective communication . execute mathematical operations accurately . apply a systematic approach to solve problems . use a variety of thinking skills to anticipate and solve problems . locate , select , organize , and document information using appropriate technology and information systems . analyze , evaluate , and apply relevant information from a variety of sources . interact with others in groups or teams in ways that contribute to effective working relationships and the achievement of goals . manage the use of time and other resources to complete projects . take responsibility for one ’s own actions , decisions , and consequences .",Data Analysis,4,"['statistical techniques', 'data interpretation', 'measurement concepts']","['data collection', 'trend analysis', 'problem solving.']"
661424964946,you will be provided with a practical understanding of quality improvement tools and their applications in industry . this will include a practical introduction to data techniques and statistical process control ( spc ) as useful tools for maintaining and improving manufacturing quality . you will also develop an understanding of the economic and strategic importance of quality in the manufacturing .,"employ statistics to solve problems . use statistical terms . identify types of data . identify the measurement level of variables . identify the four main sampling techniques . draw a scatter plot for a set of ordered pairs . calculate and interpret the correlation coefficient . calculate the equation of the least squares regression line . use the regression equation to predict values of the dependent variable . interpret the concept of "" quality "" as it applies to various industries . define quality . explain the need and goals of spc . contrast the difference between prevention versus detection of defects . explain the basic tools for spc . explain how quality has evolved over the last century . express management ’s problems with quality improvement . generalize various management approaches to promote quality improvement . identify the “ cost of quality ” . apply statistical methods to data analysis . interpret measurement concepts and variation . analyze a distribution using statistical techniques . use various quality improvement tools to organize data . use various quality improvement tools to represent and quantify data . use various quality improvement tools to diagram and solve quality problems . analyze normal probability distribution and the central limit theorem . solve problems using the concepts of normal probability distribution . demonstrate the use and application of variable control charts . contrast the difference between variables and attributes . discover the preparatory issues with implementing control charts . develop control charts for variables . identify control chart patterns and deal with out - of - control situations . calculate the process capability for control chart variable data . document other variations of the standard variable control chart . demonstrate the use and application of attribute control charts . develop and create control charts for attributes . calculate the process capability for control chart attribute data . explain the difference between the four chart types and their uses . identify several out - of - control situations for control charts . describe several remedies for these out - of - control situations . investigate gauge capability . calculate gauge capability . demonstrate and evaluate a gauge repeatability and reproducibility study . assess the effect of repeatability and reproducibility , and stability on gauge readings . communicate clearly , concisely and correctly in the written , spoken , and visual form that fulfills the purpose and meets the needs of the audience . respond to written , spoken , or visual messages in a manner that ensures effective communication . execute mathematical operations accurately . apply a systematic approach to solve problems . use a variety of thinking skills to anticipate and solve problems . locate , select , organize , and document information using appropriate technology and information systems . analyze , evaluate , and apply relevant information from a variety of sources . interact with others in groups or teams in ways that contribute to effective working relationships and the achievement of goals . manage the use of time and other resources to complete projects . take responsibility for one ’s own actions , decisions , and consequences .",Quality Improvement,4,"['process control', 'quality management', 'statistical  methods']","['problem identification', 'process optimization', 'improvement implementation.']"
661424964946,you will be provided with a practical understanding of quality improvement tools and their applications in industry . this will include a practical introduction to data techniques and statistical process control ( spc ) as useful tools for maintaining and improving manufacturing quality . you will also develop an understanding of the economic and strategic importance of quality in the manufacturing .,"employ statistics to solve problems . use statistical terms . identify types of data . identify the measurement level of variables . identify the four main sampling techniques . draw a scatter plot for a set of ordered pairs . calculate and interpret the correlation coefficient . calculate the equation of the least squares regression line . use the regression equation to predict values of the dependent variable . interpret the concept of "" quality "" as it applies to various industries . define quality . explain the need and goals of spc . contrast the difference between prevention versus detection of defects . explain the basic tools for spc . explain how quality has evolved over the last century . express management ’s problems with quality improvement . generalize various management approaches to promote quality improvement . identify the “ cost of quality ” . apply statistical methods to data analysis . interpret measurement concepts and variation . analyze a distribution using statistical techniques . use various quality improvement tools to organize data . use various quality improvement tools to represent and quantify data . use various quality improvement tools to diagram and solve quality problems . analyze normal probability distribution and the central limit theorem . solve problems using the concepts of normal probability distribution . demonstrate the use and application of variable control charts . contrast the difference between variables and attributes . discover the preparatory issues with implementing control charts . develop control charts for variables . identify control chart patterns and deal with out - of - control situations . calculate the process capability for control chart variable data . document other variations of the standard variable control chart . demonstrate the use and application of attribute control charts . develop and create control charts for attributes . calculate the process capability for control chart attribute data . explain the difference between the four chart types and their uses . identify several out - of - control situations for control charts . describe several remedies for these out - of - control situations . investigate gauge capability . calculate gauge capability . demonstrate and evaluate a gauge repeatability and reproducibility study . assess the effect of repeatability and reproducibility , and stability on gauge readings . communicate clearly , concisely and correctly in the written , spoken , and visual form that fulfills the purpose and meets the needs of the audience . respond to written , spoken , or visual messages in a manner that ensures effective communication . execute mathematical operations accurately . apply a systematic approach to solve problems . use a variety of thinking skills to anticipate and solve problems . locate , select , organize , and document information using appropriate technology and information systems . analyze , evaluate , and apply relevant information from a variety of sources . interact with others in groups or teams in ways that contribute to effective working relationships and the achievement of goals . manage the use of time and other resources to complete projects . take responsibility for one ’s own actions , decisions , and consequences .",Communication,4,"['written  and  oral  communication', 'active  listening']","['information  sharing', 'presentation  delivery', 'report  writing.']"
661424964946,you will be provided with a practical understanding of quality improvement tools and their applications in industry . this will include a practical introduction to data techniques and statistical process control ( spc ) as useful tools for maintaining and improving manufacturing quality . you will also develop an understanding of the economic and strategic importance of quality in the manufacturing .,"employ statistics to solve problems . use statistical terms . identify types of data . identify the measurement level of variables . identify the four main sampling techniques . draw a scatter plot for a set of ordered pairs . calculate and interpret the correlation coefficient . calculate the equation of the least squares regression line . use the regression equation to predict values of the dependent variable . interpret the concept of "" quality "" as it applies to various industries . define quality . explain the need and goals of spc . contrast the difference between prevention versus detection of defects . explain the basic tools for spc . explain how quality has evolved over the last century . express management ’s problems with quality improvement . generalize various management approaches to promote quality improvement . identify the “ cost of quality ” . apply statistical methods to data analysis . interpret measurement concepts and variation . analyze a distribution using statistical techniques . use various quality improvement tools to organize data . use various quality improvement tools to represent and quantify data . use various quality improvement tools to diagram and solve quality problems . analyze normal probability distribution and the central limit theorem . solve problems using the concepts of normal probability distribution . demonstrate the use and application of variable control charts . contrast the difference between variables and attributes . discover the preparatory issues with implementing control charts . develop control charts for variables . identify control chart patterns and deal with out - of - control situations . calculate the process capability for control chart variable data . document other variations of the standard variable control chart . demonstrate the use and application of attribute control charts . develop and create control charts for attributes . calculate the process capability for control chart attribute data . explain the difference between the four chart types and their uses . identify several out - of - control situations for control charts . describe several remedies for these out - of - control situations . investigate gauge capability . calculate gauge capability . demonstrate and evaluate a gauge repeatability and reproducibility study . assess the effect of repeatability and reproducibility , and stability on gauge readings . communicate clearly , concisely and correctly in the written , spoken , and visual form that fulfills the purpose and meets the needs of the audience . respond to written , spoken , or visual messages in a manner that ensures effective communication . execute mathematical operations accurately . apply a systematic approach to solve problems . use a variety of thinking skills to anticipate and solve problems . locate , select , organize , and document information using appropriate technology and information systems . analyze , evaluate , and apply relevant information from a variety of sources . interact with others in groups or teams in ways that contribute to effective working relationships and the achievement of goals . manage the use of time and other resources to complete projects . take responsibility for one ’s own actions , decisions , and consequences .",Problem Solving,4,"['analytical thinking', 'decision making', 'critical analysis']","['issue identification', 'solution development', 'implementation planning.']"
661424964946,you will be provided with a practical understanding of quality improvement tools and their applications in industry . this will include a practical introduction to data techniques and statistical process control ( spc ) as useful tools for maintaining and improving manufacturing quality . you will also develop an understanding of the economic and strategic importance of quality in the manufacturing .,"employ statistics to solve problems . use statistical terms . identify types of data . identify the measurement level of variables . identify the four main sampling techniques . draw a scatter plot for a set of ordered pairs . calculate and interpret the correlation coefficient . calculate the equation of the least squares regression line . use the regression equation to predict values of the dependent variable . interpret the concept of "" quality "" as it applies to various industries . define quality . explain the need and goals of spc . contrast the difference between prevention versus detection of defects . explain the basic tools for spc . explain how quality has evolved over the last century . express management ’s problems with quality improvement . generalize various management approaches to promote quality improvement . identify the “ cost of quality ” . apply statistical methods to data analysis . interpret measurement concepts and variation . analyze a distribution using statistical techniques . use various quality improvement tools to organize data . use various quality improvement tools to represent and quantify data . use various quality improvement tools to diagram and solve quality problems . analyze normal probability distribution and the central limit theorem . solve problems using the concepts of normal probability distribution . demonstrate the use and application of variable control charts . contrast the difference between variables and attributes . discover the preparatory issues with implementing control charts . develop control charts for variables . identify control chart patterns and deal with out - of - control situations . calculate the process capability for control chart variable data . document other variations of the standard variable control chart . demonstrate the use and application of attribute control charts . develop and create control charts for attributes . calculate the process capability for control chart attribute data . explain the difference between the four chart types and their uses . identify several out - of - control situations for control charts . describe several remedies for these out - of - control situations . investigate gauge capability . calculate gauge capability . demonstrate and evaluate a gauge repeatability and reproducibility study . assess the effect of repeatability and reproducibility , and stability on gauge readings . communicate clearly , concisely and correctly in the written , spoken , and visual form that fulfills the purpose and meets the needs of the audience . respond to written , spoken , or visual messages in a manner that ensures effective communication . execute mathematical operations accurately . apply a systematic approach to solve problems . use a variety of thinking skills to anticipate and solve problems . locate , select , organize , and document information using appropriate technology and information systems . analyze , evaluate , and apply relevant information from a variety of sources . interact with others in groups or teams in ways that contribute to effective working relationships and the achievement of goals . manage the use of time and other resources to complete projects . take responsibility for one ’s own actions , decisions , and consequences .",Teamwork,3,"['collaboration', 'communication', 'conflict resolution']","['group participation', 'shared goal achievement', 'support for  team  members.']"
6004364299427,"there is a subtle balance between improvements in business operations by using big data analytics and increased risk if ( inadvertently ) overstepping certain legal or social boundaries . this course addresses the pros and cons of using data analytics in business and social , ethical and security issues associated with it . several real - world cases will be discusses and analyzed in the course .",,data analytics,4,"['data analysis techniques', 'data visualization', 'ethical considerations']","['data interpretation', 'trend identification', 'informed decision making.']"
6004364299427,"there is a subtle balance between improvements in business operations by using big data analytics and increased risk if ( inadvertently ) overstepping certain legal or social boundaries . this course addresses the pros and cons of using data analytics in business and social , ethical and security issues associated with it . several real - world cases will be discusses and analyzed in the course .",,risk management,3,"['legal frameworks', 'social impact assessment', 'risk identification']","['risk evaluation', 'mitigation strategies', 'compliance monitoring.']"
